PackageName|Category
telemetry_metrics_prometheus_core|Instrumenting / Monitoring
telemetry_metrics_statsd|Instrumenting / Monitoring
telemetry_poller|Instrumenting / Monitoring
telemetry_registry|Instrumenting / Monitoring
vmstats|Instrumenting / Monitoring
zen_monitor|Instrumenting / Monitoring
exjsx|JSON
gleam_json|JSON
ja_serializer|JSON
jason|JSON
jaxon|JSON
jiffy|JSON
joken|JSON
joken_jwks|JSON
jose|JSON
json|JSON
jsone|JSON
jsx|JSON
poison|JSON
thoas|JSON
erlex|Languages
erlport|Languages
gleam_erlang|Languages
gleam_javascript|Languages
gleam_stdlib|Languages
luerl|Languages
nodejs|Languages
combine|Lexical analysis
google_protos|Lexical analysis
gpb|Lexical analysis
inaka_aleppo|Lexical analysis
neotoma|Lexical analysis
nimble_parsec|Lexical analysis
protobuf|Lexical analysis
protox|Lexical analysis
spitfire|Lexical analysis
hut|Logging
ink|Logging
lager|Logging
logfmt|Logging
logger_file_backend|Logging
logger_json|Logging
opentelemetry_logger_metadata|Logging
pretty_log|Logging
uinta|Logging
earmark|Markdown
earmark_parser|Markdown
mdex|Markdown
certifi|Miscellaneous
digital_token|Miscellaneous
erl_exercism|Miscellaneous
idna|Miscellaneous
rustler|Native Implemented Functions
rustler_precompiled|Native Implemented Functions
acceptor_pool|Networking
cidr|Networking
dns|Networking
dns_cluster|Networking
inet_cidr|Networking
iptrie|Networking
mint_web_socket|Networking
net_address|Networking
pfx|Networking
ranch|Networking
remote_ip|Networking
socket|Networking
websock|Networking
websock_adapter|Networking
websocket_client|Networking
websockex|Networking
elixlsx|Office
xlsx_reader|Office
xlsxir|Office
ash_postgres|ORM and Datamapping
ash_sql|ORM and Datamapping
carbonite|ORM and Datamapping
commanded_ecto_projections|ORM and Datamapping
connection|ORM and Datamapping
db_connection|ORM and Datamapping
ecto|ORM and Datamapping
ecto_commons|ORM and Datamapping
ecto_dev_logger|ORM and Datamapping
ecto_enum|ORM and Datamapping
ecto_enum_migration|ORM and Datamapping
ecto_erd|ORM and Datamapping
ecto_morph|ORM and Datamapping
ecto_network|ORM and Datamapping
ecto_psql_extras|ORM and Datamapping
ecto_sql|ORM and Datamapping
ecto_sqlite3|ORM and Datamapping
epgsql|ORM and Datamapping
eredis|ORM and Datamapping
eredis_cluster|ORM and Datamapping
eventstore|ORM and Datamapping
excellent_migrations|ORM and Datamapping
exqlite|ORM and Datamapping
flop|ORM and Datamapping
flop_phoenix|ORM and Datamapping
khepri|ORM and Datamapping
khepri_mnesia_migration|ORM and Datamapping
mongodb_driver|ORM and Datamapping
myxql|ORM and Datamapping
opentelemetry_ecto|ORM and Datamapping
opentelemetry_redix|ORM and Datamapping
paginator|ORM and Datamapping
paper_trail|ORM and Datamapping
parse_trans|ORM and Datamapping
pgvector|ORM and Datamapping
polymorphic_embed|ORM and Datamapping
postgrex|ORM and Datamapping
prometheus_ecto|ORM and Datamapping
ra|ORM and Datamapping
redix|ORM and Datamapping
shards|ORM and Datamapping
spandex_ecto|ORM and Datamapping
tds|ORM and Datamapping
typed_ecto_schema|ORM and Datamapping
xandra|ORM and Datamapping
exactor|OTP
gen_registry|OTP
gen_state_machine|OTP
gleam_otp|OTP
gproc|OTP
parent|OTP
supervisor3|OTP
hex_core|Package Management
rebar3_hex|Package Management
chromic_pdf|PDF
pdf_generator|PDF
ash_phoenix|Phoenix
ex_cldr_plugs|Phoenix
kaffy|Phoenix
live_debugger|Phoenix
live_isolated_component|Phoenix
live_select|Phoenix
opentelemetry_liveview|Phoenix
opentelemetry_phoenix|Phoenix
petal_components|Phoenix
phoenix|Phoenix
phoenix_ecto|Phoenix
phoenix_html|Phoenix
phoenix_html_helpers|Phoenix
phoenix_live_dashboard|Phoenix
phoenix_live_reload|Phoenix
phoenix_live_view|Phoenix
phoenix_pubsub|Phoenix
phoenix_pubsub_redis|Phoenix
phoenix_storybook|Phoenix
phoenix_template|Phoenix
phoenix_view|Phoenix
phx_new|Phoenix
slipstream|Phoenix
tidewave|Phoenix
cowlib|Protocols
grpcbox|Protocols
hpack_erl|Protocols
hpax|Protocols
ts_chatterbox|Protocols
amqp|Queue
amqp_client|Queue
broadway|Queue
broadway_cloud_pub_sub|Queue
broadway_dashboard|Queue
broadway_kafka|Queue
broadway_rabbitmq|Queue
broadway_sqs|Queue
brod|Queue
exq|Queue
gen_batch_server|Queue
gnat|Queue
kafka_ex|Queue
kafka_protocol|Queue
kayrock|Queue
nimble_ownership|Queue
nimble_pool|Queue
oban|Queue
oban_met|Queue
oban_web|Queue
opentelemetry_broadway|Queue
opentelemetry_oban|Queue
poolboy|Queue
rabbit_common|Queue
worker_pool|Queue
absinthe|REST and API
absinthe_error_payload|REST and API
absinthe_federation|REST and API
absinthe_graphql_ws|REST and API
absinthe_phoenix|REST and API
absinthe_plug|REST and API
absinthe_relay|REST and API
apollo_tracing|REST and API
dataloader|REST and API
grpc|REST and API
grpc_fresha|REST and API
neuron|REST and API
opentelemetry_absinthe|REST and API
crontab|Scheduling
quantum|Scheduling
elastix|Search
snap|Search
credentials_obfuscation|Security
html_sanitize_ex|Security
mix_audit|Security
paraxial|Security
plug_attack|Security
sobelow|Security
fsm|State Machines
statistics|Statistics
bbmustache|Templating
solid|Templating
assert_value|Testing
assertions|Testing
blacksmith|Testing
bypass|Testing
coveralls|Testing
covertool|Testing
ex_check|Testing
ex_machina|Testing
ex_parameterized|Testing
ex_unit_notifier|Testing
excoveralls|Testing
exvcr|Testing
faker|Testing
gleeunit|Testing
hammox|Testing
junit_formatter|Testing
machete|Testing
meck|Testing
mimic|Testing
mix_test_interactive|Testing
mix_test_watch|Testing
mock|Testing
mockery|Testing
mox|Testing
patch|Testing
phoenix_test|Testing
proper|Testing
rebar3_proper|Testing
stream_data|Testing
wallaby|Testing
web_driver_client|Testing
abacus|Text and Numbers
any_ascii|Text and Numbers
complex|Text and Numbers
conv_case|Text and Numbers
custom_base|Text and Numbers
decimal|Text and Numbers
ex_money|Text and Numbers
ex_money_sql|Text and Numbers
gleam_regexp|Text and Numbers
money|Text and Numbers
number|Text and Numbers
numbers|Text and Numbers
ordinal|Text and Numbers
proper_case|Text and Numbers
ratio|Text and Numbers
recase|Text and Numbers
slugger|Text and Numbers
slugify|Text and Numbers
text_diff|Text and Numbers
unicode|Text and Numbers
braintree|Third Party APIs
ex_twilio|Third Party APIs
external_service|Third Party APIs
knock|Third Party APIs
pigeon|Third Party APIs
segment|Third Party APIs
stripity_stripe|Third Party APIs
workos|Third Party APIs
cldr_utils|Translations and Internationalizations
ex_cldr|Translations and Internationalizations
ex_cldr_calendars|Translations and Internationalizations
ex_cldr_currencies|Translations and Internationalizations
ex_cldr_dates_times|Translations and Internationalizations
ex_cldr_languages|Translations and Internationalizations
ex_cldr_lists|Translations and Internationalizations
ex_cldr_numbers|Translations and Internationalizations
ex_cldr_territories|Translations and Internationalizations
ex_cldr_units|Translations and Internationalizations
expo|Translations and Internationalizations
gettext|Translations and Internationalizations
accessible|Utilities
aten|Utilities
atomic_map|Utilities
attrs|Utilities
backoff|Utilities
blankable|Utilities
browser|Utilities
bunt|Utilities
cf|Utilities
circular_buffer|Utilities
coerce|Utilities
commanded|Utilities
commanded_eventstore_adapter|Utilities
crc|Utilities
crc32cer|Utilities
ctx|Utilities
decorator|Utilities
deep_merge|Utilities
delta_crdt|Utilities
domainatrex|Utilities
elixir_uuid|Utilities
enough|Utilities
enum_type|Utilities
erlexec|Utilities
erlware_commons|Utilities
eternal|Utilities
ets|Utilities
ex_hash_ring|Utilities
ex_maybe|Utilities
ex_rated|Utilities
ex2ms|Utilities
exconstructor|Utilities
exexec|Utilities
explorer|Utilities
exprintf|Utilities
fuse|Utilities
gleam_yielder|Utilities
hammer|Utilities
hammer_backend_redis|Utilities
hammer_plug|Utilities
hashids|Utilities
highlander|Utilities
horus|Utilities
inflex|Utilities
iterex|Utilities
jumper|Utilities
knigge|Utilities
libgraph|Utilities
libring|Utilities
licensir|Utilities
liveness|Utilities
map_diff|Utilities
memoize|Utilities
merkle_map|Utilities
moar|Utilities
morphix|Utilities
murmur|Utilities
nanoid|Utilities
nestru|Utilities
nimble_options|Utilities
octo_fetch|Utilities
p1_utils|Utilities
parallel_stream|Utilities
picosat_elixir|Utilities
porcelain|Utilities
process_tree|Utilities
providers|Utilities
puid|Utilities
quantile_estimator|Utilities
quickrand|Utilities
reactor|Utilities
result|Utilities
retry|Utilities
sage|Utilities
scrivener|Utilities
scrivener_ecto|Utilities
scrivener_list|Utilities
semaphore|Utilities
sext|Utilities
shortuuid|Utilities
singleton|Utilities
sitemapper|Utilities
sizeable|Utilities
sleeplocks|Utilities
snappyer|Utilities
spark|Utilities
stdout_formatter|Utilities
stream_gzip|Utilities
string_compat|Utilities
table|Utilities
table_rex|Utilities
temp|Utilities
towel|Utilities
typed_struct|Utilities
typedstruct|Utilities
ua_inspector|Utilities
ua_parser|Utilities
uf2tool|Utilities
unicode_util_compat|Utilities
uniq|Utilities
unsafe|Utilities
unzip|Utilities
uri_query|Utilities
uuid|Utilities
uuid_erl|Utilities
uuidv7|Utilities
varint|Utilities
vector|Utilities
verl|Utilities
workspace|Utilities
wormhole|Utilities
yuri_template|Utilities
zipper|Utilities
zstream|Utilities
brcpfcnpj|Validations
email_checker|Validations
ex_json_schema|Validations
ex_phone_number|Validations
ham|Validations
jesse|Validations
json_xema|Validations
luhn|Validations
norm|Validations
optimal|Validations
params|Validations
peri|Validations
phone|Validations
tarams|Validations
valdi|Validations
vex|Validations
xema|Validations
git_cli|Version Control
git_hooks|Version Control
git_ops|Version Control
elixir_xml_to_map|XML
erlsom|XML
saxy|XML
sweet_xml|XML
xml_builder|XML
yamerl|YAML
yaml_elixir|YAML
ymlr|YAML
